"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","stim_order","rt","stimulus","response","workerId","interview_date","handedness","version","difficulty","stimulus_set","selected_stim","index","deck_probabilities","key_press","reward_type","reversal_type","reward_tally","phase","total_earnings"
"","","","","","html-keyboard-response","10","3892","0.0-10.0","[""rabbit"",""cat"",""dog""]","274","
        <p>The following is a practice round of just 3 turns.<p>
        <p>The points you get here won’t change your final score, and the best animal will change between the practice round and when the real game starts.</p>
        <p>Please press the zero (0) key to start the practice round.</p>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","4394","0.0-11.0-0.0","[""rabbit"",""cat"",""dog""]","299","<div style='font-size:40px'>+</div>","2","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","4993","0.0-11.0-1.0","[""rabbit"",""cat"",""dog""]","300","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/rabbitsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
            </div>","2","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","5996","0.0-11.0-2.0","[""rabbit"",""cat"",""dog""]","null","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/loss/8/rabbitsquare.jpg'>
                    <img class='stimuli-middle' src='stim/loss/outcome/squared_win.png'>    
                    <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
                </div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","6498","0.0-11.0-0.1","[""rabbit"",""cat"",""dog""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","7670","0.0-11.0-1.1","[""rabbit"",""cat"",""dog""]","1169","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/rabbitsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
            </div>","1","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","8673","0.0-11.0-2.1","[""rabbit"",""cat"",""dog""]","null","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/loss/outcome/squared_win.png'>
                    <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                    <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
                </div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","9175","0.0-11.0-0.2","[""rabbit"",""cat"",""dog""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","9428","0.0-11.0-1.2","[""rabbit"",""cat"",""dog""]","251","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/rabbitsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
            </div>","3","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","10431","0.0-11.0-2.2","[""rabbit"",""cat"",""dog""]","null","
                <div class='image-container'>
                    <img class='stimuli-left' src='stim/loss/8/rabbitsquare.jpg'>
                    <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                    <img class='stimuli-right' src='stim/loss/outcome/squared_lose.png'>
                </div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","11070","0.0-12.0","[""rabbit"",""cat"",""dog""]","638","
        <p>You have now completed the practice round.</p>
        <p>You will now begin the main task, which will take approximately 10 minutes.</p>
        <p>You will be given <b> 8000 </b> points and should attempt to retain points as you select animals.</p>
        <p>As a reminder, your remaining points will be converted to a final bonus of <b> $1 </b> per every <b> 2000 </b> points at the end of the game.</p>
        <p>Please press the zero (0) key whenever you are ready to start the task.</p>","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","11570","0.0-13.0-0.0","[""rabbit"",""cat"",""dog""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","12055","0.0-13.0-1.0","[""rabbit"",""cat"",""dog""]","483","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/rabbitsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
            </div>","1","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","13058","0.0-13.0-2.0","[""rabbit"",""cat"",""dog""]","483","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/outcome/squared_win.png'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
            </div>","1","0","02/14/2026","right","loss","stable-stable","8","rabbit","1","0.4,0.8,0.2","49","true","false","0","0",""
"","","","","","html-keyboard-response","24","21587","0.0-13.0-3.0-0.0","[""rabbit"",""cat"",""dog""]","8528","You are 25% done with the experiment. Please press the (0) key to proceed.","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","22089","0.0-13.0-0.1","[""rabbit"",""cat"",""dog""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","22665","0.0-13.0-1.1","[""rabbit"",""cat"",""dog""]","574","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/rabbitsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
            </div>","2","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","23668","0.0-13.0-2.1","[""rabbit"",""cat"",""dog""]","574","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/rabbitsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/outcome/squared_lose.png'>
                <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
            </div>","2","0","02/14/2026","right","loss","stable-stable","8","cat","2","0.4,0.8,0.2","50","false","false","-50","0",""
"","","","","","html-keyboard-response","28","25129","0.0-13.0-3.1-0.1","[""rabbit"",""cat"",""dog""]","1460","You are 50% done with the experiment. Please press the (0) key to proceed.","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","25630","0.0-13.0-0.2","[""rabbit"",""cat"",""dog""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","26233","0.0-13.0-1.2","[""rabbit"",""cat"",""dog""]","603","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/rabbitsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
            </div>","1","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","27238","0.0-13.0-2.2","[""rabbit"",""cat"",""dog""]","603","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/outcome/squared_lose.png'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
            </div>","1","0","02/14/2026","right","loss","stable-stable","8","rabbit","3","0.2,0.4,0.8","49","false","true","-100","0",""
"","","","","","html-keyboard-response","32","30940","0.0-13.0-3.2-0.2","[""rabbit"",""cat"",""dog""]","3700","You are 75% done with the experiment. Please press the (0) key to proceed.","0","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","31440","0.0-13.0-0.3","[""rabbit"",""cat"",""dog""]","null","<div style='font-size:40px'>+</div>","null","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","31956","0.0-13.0-1.3","[""rabbit"",""cat"",""dog""]","513","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/8/rabbitsquare.jpg'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
            </div>","1","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","32958","0.0-13.0-2.3","[""rabbit"",""cat"",""dog""]","513","
            <div class='image-container'>
                <img class='stimuli-left' src='stim/loss/outcome/squared_lose.png'>
                <img class='stimuli-middle' src='stim/loss/8/catsquare.jpg'>
                <img class='stimuli-right' src='stim/loss/8/dogsquare.jpg'>
            </div>","1","0","02/14/2026","right","loss","stable-stable","8","rabbit","4","0.2,0.4,0.8","49","false","false","-150","0",""
"","","","","","html-keyboard-response","36","37959","0.0-14.0","[""rabbit"",""cat"",""dog""]","null","
<div class='data-save-animation'>
    <p>Data saving...</p>
    <div class=""sk-cube-grid"">
        <div class=""sk-cube sk-cube1""></div>
        <div class=""sk-cube sk-cube2""></div>
        <div class=""sk-cube sk-cube3""></div>
        <div class=""sk-cube sk-cube4""></div>
        <div class=""sk-cube sk-cube5""></div>
        <div class=""sk-cube sk-cube6""></div>
        <div class=""sk-cube sk-cube7""></div>
        <div class=""sk-cube sk-cube8""></div>
        <div class=""sk-cube sk-cube9""></div>
    </div>
    <p>Do not close this window until the text disappears.</p>
</div>","null","","","","","","","","","","","","","","","$3.92"
